appid,name,estimated_owners,price,dlc_count,windows,mac,linux,metacritic_score,user_score,achievements,recommendations,average_playtime_forever,average_playtime_two_weeks,median_playtime_forever,median_playtime_two_weeks,developers,publishers,genres,tags,single_player,release_year,players,popular_tags,recent_sentiment,recent_review_number,recent_positive_percentage,all_sentiment,all_review_number,all_positive_percentage,global_sales
18420,Crazy Machines,75000.0,9.99,0,True,False,False,78,0,0,0,28,0,42,0,Fakt Software,Viva Media,"Casual,Strategy","Puzzle,Casual,Strategy,Physics,Singleplayer",True,2008,single,"Casual,Puzzle,Strategy,Physics",,,,Very Positive,67.0,82.0,0.05
275850,No Man's Sky,7500000.0,29.99,0,True,False,False,61,0,27,186025,2544,445,1123,166,Hello Games,Hello Games,"Action,Adventure","Open World,Open World Survival Craft,Space,Exploration,Sci-fi,Survival,Procedural Generation,Adventure,First-Person,Sandbox,Singleplayer,Multiplayer,Atmospheric,Crafting,Space Sim,Indie,Action,Simulation,FPS,Great Soundtrack",True,2016,single/multi,"Open World,Space,Exploration,Sci-fi,First-Person,Procedural Generation,Survival,Adventure,Singleplayer,Sandbox,Atmospheric,Crafting,Space Sim,Indie,Action,Multiplayer,Simulation,FPS,Great Soundtrack,Massively Multiplayer",Mostly Positive,545.0,73.0,Mixed,102974.0,51.0,1.7
38230,Hotel Giant 2,35000.0,2.39,0,True,False,False,58,0,12,210,9,0,9,0,"Enlight Software Limited, PerspectX",Toplitz Productions,"Casual,Simulation,Strategy","Simulation,Strategy,Casual,Management,Sandbox,RTS,Grand Strategy,Top-Down,Immersive Sim,Building,Relaxing,Economy,Resource Management,Time Manipulation,Singleplayer,Sequel",True,2010,single,"Simulation,Management",,,,Mixed,138.0,41.0,0.03
7760,X-COM: UFO Defense,1500000.0,4.99,0,True,False,False,0,0,0,2535,159,1,21,1,"MicroProse Software, Inc",2K,Strategy,"Strategy,Classic,Turn-Based Strategy,Sci-fi,Turn-Based,Aliens,Tactical,Singleplayer,Turn-Based Tactics,Difficult,Isometric,Old School,Unforgiving,Base-Building,Addictive,1990's,Simulation,Retro,Atmospheric,Management",True,2008,single,"Strategy,Classic,Turn-Based Strategy,Sci-fi,Turn-Based,Aliens,Tactical,Singleplayer,Turn-Based Tactics,Difficult,Masterpiece,Old School,Unforgiving,Isometric,Base Building,Addictive,Simulation,Retro,1990's,Atmospheric",,,,Overwhelmingly Positive,1757.0,96.0,0.09
350640,Sherlock Holmes: The Devil's Daughter,1500000.0,5.99,1,True,False,False,65,0,25,9802,279,0,142,0,Frogwares,Frogwares,"Action,Adventure","Adventure,Detective,Story Rich,Mystery,Puzzle,Crime,Thriller,Singleplayer,Third Person,Action,Atmospheric,Point & Click,Choices Matter,Investigation,First-Person,Action-Adventure,3D,Casual,Controller,Multiplayer",True,2016,single,"Detective,Adventure,Story Rich,Mystery,Action,Crime,Puzzle,Open World,Singleplayer,Atmospheric,Third Person,Psychological Horror,Horror,Point & Click,First-Person,Masterpiece,Multiplayer,Thriller",Mostly Positive,35.0,71.0,Mostly Positive,2183.0,72.0,0.02
370840,Rugby Challenge 3,10000.0,49.99,0,True,False,False,0,0,50,0,0,0,0,0,Wicked Witch,"Wicked Witch,Tru Blu Games",Sports,Sports,True,2016,single/multi,Sports,,,,Mixed,63.0,57.0,0.12
563190,de Blob 2,10000.0,19.99,0,True,False,False,0,0,25,0,0,0,0,0,"Blue Tongue Entertainment,Blitworks",THQ Nordic,"Action,Adventure,Indie","Action,Adventure,Indie,3D Platformer,Platformer,Great Soundtrack,Funny",True,2017,single/multi,"Action,Adventure,Indie,3D Platformer,Platformer",,,,Positive,32.0,84.0,0.65
405820,Turok,150000.0,19.99,0,True,True,True,0,0,10,2334,78,0,59,0,"Iguana Entertainment,Nightdive Studios",Nightdive Studios,"Action,Adventure","Action,Adventure,Dinosaurs,FPS,Classic,Retro,Shooter,Singleplayer,First-Person,1990's,Atmospheric,Gore,3D Platformer,Old School,Fantasy,Sci-fi,Cult Classic,Platformer,Great Soundtrack,Multiplayer",True,2015,single,"FPS,Dinosaurs,Action,Classic,Adventure,Shooter,Retro,Singleplayer,First-Person,1990's,Atmospheric,Gore,3D Platformer,Fantasy,Platformer,Great Soundtrack,Sci-fi,Old School,Cult Classic,Multiplayer",,,,Overwhelmingly Positive,1548.0,95.0,1.43
279940,The Book of Unwritten Tales 2,75000.0,29.99,1,True,True,True,80,0,51,562,811,0,1084,0,KING Art,THQ Nordic,Adventure,"Fantasy,Singleplayer,Adventure,Point & Click,Atmospheric,Magic,Parody,Sequel,Medieval,Mouse only,2.5D,Satire,Family Friendly,Linear,Dragons,Dark Fantasy,3D,Dark,Dark Humor,Dark Comedy",True,2015,single,"Adventure,Point & Click,Comedy,Fantasy,Singleplayer,Story Rich,Funny,Kickstarter,Great Soundtrack,Atmospheric,Puzzle",,,,Very Positive,390.0,90.0,0.08
34800,Chronicles of Mystery: The Scorpio Ritual,35000.0,4.99,0,True,False,False,62,0,0,0,0,0,0,0,City Interactive S.A.,City Interactive S.A.,Adventure,"Adventure,Point & Click,Female Protagonist",True,2009,single,"Adventure,Point & Click,Female Protagonist",,,,Mostly Positive,38.0,76.0,0.01
35000,Mini Ninjas,350000.0,9.99,0,True,False,False,74,0,0,2766,117,0,41,0,IO Interactive,Square Enix,"Action,Adventure","Adventure,Action,Ninja,Stealth,Cute,Singleplayer,3D Platformer,Family Friendly,Third Person,Platformer,Open World,Controller,Funny,Great Soundtrack,Multiplayer,Hack and Slash,Anime,Casual,Beautiful,Indie",True,2009,single,"Adventure,Action,Ninja,Stealth,Cute,Singleplayer,3D Platformer,Family Friendly,Third Person,Platformer,Funny,Open World,Controller,Great Soundtrack,Multiplayer,Anime,Hack and Slash,Casual",Very Positive,25.0,96.0,Very Positive,1252.0,87.0,1.36
281200,A Boy and His Blob,150000.0,9.99,0,True,True,True,0,0,21,176,260,0,389,0,"Abstraction Games,WayForward",Ziggurat,Adventure,"Adventure,Puzzle-Platformer,Family Friendly,Puzzle,Remake,2D,Cute,Platformer,Singleplayer",True,2016,single,"Adventure,Puzzle-Platformer,Puzzle,Family Friendly,2D,Remake,Cute,Platformer,Singleplayer",,,,Very Positive,126.0,84.0,0.21
390310,Little King's Story,35000.0,14.99,0,True,False,False,62,0,41,302,93,0,93,0,"Marvelous, Inc.","XSEED Games,Marvelous USA, Inc.,Marvelous","RPG,Simulation,Strategy","Strategy,RPG,Simulation,Cute,Great Soundtrack,RTS,Anime",True,2016,single,"Strategy,RPG,Simulation,Cute,Great Soundtrack,RTS",,,,Mixed,158.0,65.0,0.29
73220,Supreme Ruler: Cold War,35000.0,9.99,0,True,False,False,63,0,0,157,0,0,0,0,BattleGoat Studios,BattleGoat Studios,Strategy,"Strategy,Cold War,Grand Strategy,Historical",True,2011,single/multi,"Strategy,Cold War,Grand Strategy,Historical",,,,Mixed,150.0,62.0,0.03
29900,Dark Sector,75000.0,9.99,0,True,False,False,66,0,0,377,439,0,532,0,Digital Extremes,ND Games,Action,"Action,Third-Person Shooter,Singleplayer,Third Person,Shooter,Gore,Horror,Sci-fi",True,2009,single/multi,"Action,Third-Person Shooter,Singleplayer,Third Person,Shooter,Gore,Horror,Masterpiece",,,,Very Positive,217.0,81.0,0.95
40990,Mafia,750000.0,14.99,0,True,False,False,88,0,0,6235,270,0,321,0,Illusion Softworks,2K,"Action,Adventure","Action,Classic,Story Rich,Open World,Crime,Atmospheric,Singleplayer,Third Person,Great Soundtrack,Adventure,Violent,Third-Person Shooter,Difficult,Shooter,Racing,Cult Classic,Historical,Drama,Controller,Simulation",True,2002,single,"Action,Classic,Story Rich,Crime,Open World,Adventure,Violent,Great Soundtrack,Singleplayer,Atmospheric,Third Person,Racing,Third-Person Shooter,Difficult,Masterpiece,Shooter",Mostly Positive,34.0,76.0,Very Positive,1815.0,89.0,1.2
664780,Alter Ego,10000.0,7.99,0,True,True,True,0,0,0,0,0,0,0,0,Choose Multiple LLC,Choose Multiple LLC,"Adventure,Casual,Indie,RPG,Simulation","RPG,Simulation,Casual,Adventure,Indie,Text-Based,Choose Your Own Adventure,Choices Matter",True,2017,single,"Adventure,Point & Click,Mystery,Detective",,,,Mixed,108.0,68.0,0.03
664780,Alter Ego,10000.0,7.99,0,True,True,True,0,0,0,0,0,0,0,0,Choose Multiple LLC,Choose Multiple LLC,"Adventure,Casual,Indie,RPG,Simulation","RPG,Simulation,Casual,Adventure,Indie,Text-Based,Choose Your Own Adventure,Choices Matter",True,2017,single,"RPG,Simulation,Casual,Adventure,Indie,Text-Based",,,,Mixed,26.0,69.0,0.03
63110,Alter Ego,75000.0,9.99,0,True,False,False,59,0,0,129,7,0,7,0,bitComposer Games,Viva Media,Adventure,"Adventure,Point & Click,Mystery,Detective",True,2010,single,"Adventure,Point & Click,Mystery,Detective",,,,Mixed,108.0,68.0,0.03
63110,Alter Ego,75000.0,9.99,0,True,False,False,59,0,0,129,7,0,7,0,bitComposer Games,Viva Media,Adventure,"Adventure,Point & Click,Mystery,Detective",True,2010,single,"RPG,Simulation,Casual,Adventure,Indie,Text-Based",,,,Mixed,26.0,69.0,0.03
27200,Summer Athletics,10000.0,19.99,0,True,False,False,0,0,0,0,0,0,0,0,49 Games,DTP Entertainment,Sports,Sports,True,2009,single/multi,Sports,,,,Mostly Positive,14.0,78.0,0.01
239140,Dying Light,7500000.0,29.99,34,True,True,True,87,0,78,242718,2211,270,1215,114,Techland,Techland,"Action,RPG","Zombies,Survival Horror,Horror,Online Co-Op,Open World,Parkour,First-Person,Survival,Open World Survival Craft,Action,FPS,Gore,PvE,PvP,Stealth,Post-apocalyptic,Story Rich,Hack and Slash,Action RPG,RPG",True,2015,single/multi,"Zombies,Survival,Open World,Parkour,Co-op,Multiplayer,Action,First-Person,Horror,Gore,Survival Horror,Crafting,FPS,Adventure,Atmospheric,Shooter,Singleplayer,RPG,Stealth,Sandbox",Very Positive,1195.0,92.0,Very Positive,61962.0,92.0,3.69
705020,Bottom of the 9th,10000.0,0.99,0,True,True,True,0,0,17,0,440,0,440,0,Handelabra Games Inc.,Handelabra Games Inc.,"Indie,Sports,Strategy","Baseball,Turn-Based Tactics,Sports,PvP,Turn-Based,Board Game,Tabletop,Strategy,3D,Casual,Colorful,Retro,Local Multiplayer,Multiplayer,Singleplayer,Indie,Mouse only,Party",True,2017,single/multi,"Strategy,Sports,Indie,Board Game",,,,Mostly Positive,11.0,72.0,0.51
40700,Machinarium,750000.0,14.99,0,True,True,False,85,0,12,8446,192,3,195,3,Amanita Design,Amanita Design,"Adventure,Indie","Point & Click,Puzzle,Hand-drawn,Steampunk,Robots,2D,Atmospheric,Story Rich,Casual,Family Friendly,Cute,Stylized,Surreal,Adventure,Sci-fi,Linear,Singleplayer,Indie,Great Soundtrack,Touch-Friendly",True,2009,single,"Point & Click,Puzzle,Adventure,Indie,Great Soundtrack,Steampunk,Singleplayer,Robots,Atmospheric,Hand-drawn,2D,Cute,Stylized,Casual,Masterpiece,Story Rich,Beautiful,Classic,Difficult,Hidden Object",Very Positive,28.0,92.0,Overwhelmingly Positive,4085.0,95.0,0.11
